Arrival Rate,Avg Response Time (s),Failed Requests
10,0.001287729946006948,0
20,0.0012344390459857095,0
30,0.0011968130279765318,0
50,0.0011826342259791999,0
70,0.0011689341859746493,0
80,0.001120546141959494,0
90,0.0010943822560075204,0
100,0.0010991414419786452,0
250,0.0008980401079879812,0
1000,0.0007832668639985059,0
