,vmId,starttime,endtime,core,memory,ssd,nic
0,0,-138.92548611108214,,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
1,0,-138.92548611108214,,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
2,0,-138.92548611108214,,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
3,0,-138.92548611108214,,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
4,1,-138.92548611108214,18.035496724769473,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
5,1,-138.92548611108214,18.035496724769473,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
6,1,-138.92548611108214,18.035496724769473,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
7,1,-138.92548611108214,18.035496724769473,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
8,2,-138.92548611108214,29.82878737291321,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
9,2,-138.92548611108214,29.82878737291321,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
10,2,-138.92548611108214,29.82878737291321,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
11,2,-138.92548611108214,29.82878737291321,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
12,3,-138.92548611108214,,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
13,3,-138.92548611108214,,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
14,3,-138.92548611108214,,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
15,3,-138.92548611108214,,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
16,4,-63.68957175919786,53.58965337974951,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
17,4,-63.68957175919786,53.58965337974951,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
18,4,-63.68957175919786,53.58965337974951,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
19,4,-63.68957175919786,53.58965337974951,0.08333333333333333,0.08333333333333333,0.05591277606933184,0.1
20,5,0.47931712958961725,0.8728222916834056,0.038461538461538464,0.028444444444444446,0.03272088193002077,0.1
21,5,0.47931712958961725,0.8728222916834056,0.07692307692307693,0.027777777777777776,0.034722222222222224,0.08
22,5,0.47931712958961725,0.8728222916834056,0.07692307692307693,0.041666666666666664,0.034722222222222224,0.08
